Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Gender
6558813ed3272ffc8cab22fe,63d13c3bcde8f0843d3dde24,APPROVED,2023-11-18T09:17:53.747000Z,2023-11-18T09:23:26.038000Z,2023-11-18T10:21:05.436000Z,2023-11-18T09:23:26.621560Z,333.0,CBCT4R5Q,191,English,White/Caucasian,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6558813f6dea856e0bace71e,6173d266422990874e02c3b7,APPROVED,2023-11-18T09:17:51.500000Z,2023-11-18T09:36:17.936000Z,2023-11-18T10:21:03.084000Z,2023-11-18T09:36:18.437745Z,1107.0,CBCT4R5Q,319,"English, Afrikaans",African,32,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
655881653de851eb1d49c015,5f3b95fb505d7b2d3840293c,APPROVED,2023-11-18T09:18:29.009000Z,2023-11-18T09:33:09.665000Z,2023-11-18T10:21:12.679000Z,2023-11-18T09:33:10.130902Z,881.0,CBCT4R5Q,422,"Polish, English",White/Caucasian,38,Female,White,Poland,Poland,Poland,Polish,No,Part-Time,
6558816539905c0a501e9fba,6163179bdadc35f5779ab4d5,APPROVED,2023-11-18T09:18:42.600000Z,2023-11-18T10:03:22.772000Z,2023-11-18T10:21:14.685000Z,2023-11-18T10:03:23.588162Z,2681.0,CBCT4R5Q,274,English,African,31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
65588167636ef499cb5df33e,5d3739be575c6c000151d88f,APPROVED,2023-11-18T09:18:43.700000Z,2023-11-18T09:28:20.479000Z,2023-11-18T10:21:18.081000Z,2023-11-18T09:28:21.047797Z,577.0,CBCT4R5Q,522,"Polish, French, English",White/Caucasian,27,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED,
6558817ad6ad4e548cb8b6fa,5cb036f10f8f9800198a79b8,APPROVED,2023-11-18T09:18:53.925000Z,2023-11-18T09:26:29.472000Z,2023-11-18T10:21:20.969000Z,2023-11-18T09:26:30.075933Z,456.0,CBCT4R5Q,261,English,White/Caucasian,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,
6558818d0b526b963e4e4609,64413394ad087285ba54acda,APPROVED,2023-11-18T09:19:09.033000Z,2023-11-18T09:30:14.958000Z,2023-11-18T10:21:25.574000Z,2023-11-18T09:30:15.471519Z,666.0,CBCT4R5Q,130,"English, Estonian",White/Caucasian,30,Female,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time,
655b233fd272b40be3f37fc1,60a0dfc6f9936b0d30dfea15,APPROVED,2023-11-20T09:13:47.642000Z,2023-11-20T09:24:09.172000Z,2023-11-20T09:25:22.726000Z,2023-11-20T09:24:09.772832Z,622.0,CBCT4R5Q,848,"English, Greek, German",White/Caucasian,33,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time,
656617dee7109118bb26d082,5be676cb09995d00014eb37b,APPROVED,2023-11-28T16:39:58.732000Z,2023-11-28T16:50:55.014000Z,2023-11-28T17:30:29.368000Z,2023-11-28T16:50:55.617400Z,657.0,CBCT4R5Q,388,"Catalan, Spanish, Dutch, English",Mixed,55,Male,White,Netherlands,Spain,Netherlands,Dutch,No,Other,
656617ed8eca3d911e43f433,5d9e1929203419001625df07,APPROVED,2023-11-28T16:40:23.808000Z,2023-11-28T16:47:17.696000Z,2023-11-28T17:30:32.626000Z,2023-11-28T16:47:18.589881Z,414.0,CBCT4R5Q,596,English,White/Caucasian,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6566182b9b4a89f074b50703,60d1a0e2551b5660575cdd64,APPROVED,2023-11-28T16:41:15.082000Z,2023-11-28T16:52:37.814000Z,2023-11-28T17:30:43.893000Z,2023-11-28T16:52:38.500030Z,683.0,CBCT4R5Q,612,English,White/Caucasian,51,Male,White,United Kingdom,Spain,United Kingdom,English,No,Full-Time,
6566188d5fbed5a9144b1ba0,5ffa1a0f5395ad3a679fb0f0,APPROVED,2023-11-28T16:42:53.506000Z,2023-11-28T16:51:17.209000Z,2023-11-28T17:30:48.341000Z,2023-11-28T16:51:17.972883Z,504.0,CBCT4R5Q,421,"Polish, English, Czech",White/Caucasian,53,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,
65661a05d1e5324b061ce114,616feb99305d8e8851e9dec6,APPROVED,2023-11-28T16:49:09.583000Z,2023-11-28T17:00:17.991000Z,2023-11-28T17:31:06.458000Z,2023-11-28T17:00:18.885317Z,669.0,CBCT4R5Q,496,"English, French, Portuguese, Spanish",White/Caucasian,52,Male,White,France,Portugal,Portugal,Portuguese,Yes,Full-Time,
65661a2c5872ebac6fc738e9,644126e69878ddbab7ac17a6,APPROVED,2023-11-28T16:49:56.129000Z,2023-11-28T16:57:36.085000Z,2023-11-28T17:31:15.078000Z,2023-11-28T16:57:36.576709Z,460.0,CBCT4R5Q,118,English,White/Caucasian,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
65661a606f3cac177420e019,6066e9cfce4f74fe20aa3cad,APPROVED,2023-11-28T16:51:06.333000Z,2023-11-28T16:57:03.078000Z,2023-11-28T17:31:18.618000Z,2023-11-28T16:57:03.586761Z,357.0,CBCT4R5Q,639,"Polish, English",Middle Eastern,48,Male,White,Germany,Poland,Poland,Polish,No,Full-Time,
65661a88d1e5324b061ce158,6050de36565b8a6c1bd30772,APPROVED,2023-11-28T16:51:20.742000Z,2023-11-28T16:59:35.137000Z,2023-11-28T17:31:22.043000Z,2023-11-28T16:59:35.729215Z,495.0,CBCT4R5Q,705,"English, French, Portuguese, Spanish",Latino/Hispanic,48,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,
