Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65649717f6a63dd5156ebe66,60df148c8ad3418481921b17,APPROVED,2023-11-27T13:18:15.757000Z,2023-11-27T13:32:14.089000Z,2023-11-27T15:41:31.317000Z,2023-11-27T13:32:14.577350Z,839.0,CBCT4R5Q,381,English,African,28,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6564a4706ceb532ab52f631d,60fc39cce64c39328a7c8904,APPROVED,2023-11-27T14:19:08.260000Z,2023-11-27T14:24:06.302000Z,2023-11-27T15:41:35.025000Z,2023-11-27T14:24:07.660133Z,299.0,CBCT4R5Q,682,"Polish, English",White/Caucasian,27,Male,White,Poland,Poland,Poland,Polish,No,Part-Time
65649626ee95833c47e74c0d,60f344e6ef656e3ce8bfe35c,APPROVED,2023-11-27T13:14:36.106000Z,2023-11-27T13:23:39.375000Z,2023-11-27T15:40:40.202000Z,2023-11-27T13:23:39.845799Z,544.0,CBCT4R5Q,275,English,African,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6564963eef47f49cc00d348c,5c30e433bd79600001c29258,APPROVED,2023-11-27T13:14:38.135000Z,2023-11-27T13:46:09.108000Z,2023-11-27T15:40:41.494000Z,2023-11-27T13:46:10.199924Z,1891.0,CBCT4R5Q,463,"Spanish, French, English, Portuguese",White/Caucasian,26,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
65649661d324b63f2804eb1c,5fa99d3dc88ddf1aebb5926b,APPROVED,2023-11-27T13:15:13.580000Z,2023-11-27T13:35:34.490000Z,2023-11-27T15:40:42.714000Z,2023-11-27T13:35:34.996285Z,1221.0,CBCT4R5Q,239,"English, Greek, Italian",White/Caucasian,26,Female,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
656496791731db88050936ac,605cd2aefa163d506547bb2d,APPROVED,2023-11-27T13:15:37.165000Z,2023-11-27T13:36:58.540000Z,2023-11-27T15:40:45.767000Z,2023-11-27T13:36:59.007723Z,1282.0,CBCT4R5Q,445,English,Mixed,37,Female,Mixed,South Africa,South Africa,South Africa,English,No,Part-Time
656496859057102fdefd948b,614cf1b2025f87af3ca56ebd,APPROVED,2023-11-27T13:16:03.504000Z,2023-11-27T13:24:47.409000Z,2023-11-27T15:40:49.616000Z,2023-11-27T13:24:48.224898Z,524.0,CBCT4R5Q,303,"English, Afrikaans",African,34,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6564968d099f0f5d4ce4ccdd,63bef4ba6289f95370399316,APPROVED,2023-11-27T13:16:04.571000Z,2023-11-27T13:22:19.772000Z,2023-11-27T15:40:51.347000Z,2023-11-27T13:22:20.527356Z,376.0,CBCT4R5Q,109,English,White/Caucasian,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6564968e2dbc11904e093660,5f56a6646e11c111125188bc,APPROVED,2023-11-27T13:15:58.907000Z,2023-11-27T13:37:50.122000Z,2023-11-27T15:40:47.370000Z,2023-11-27T13:37:51.142476Z,1312.0,CBCT4R5Q,275,"English, Afrikaans",African,26,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Part-Time
656496a5008a308424ccd42e,5fb3ad8ef450250009244dfc,APPROVED,2023-11-27T13:16:26.580000Z,2023-11-27T13:23:37.689000Z,2023-11-27T15:40:54.782000Z,2023-11-27T13:23:38.140239Z,432.0,CBCT4R5Q,179,"English, Italian, Chinese",White/Caucasian,28,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
656496b6a6f7533c5e60c585,6148a3fea250b4d3b0f7825f,APPROVED,2023-11-27T13:16:57.208000Z,2023-11-27T13:27:01.389000Z,2023-11-27T15:41:02.652000Z,2023-11-27T13:27:01.832112Z,605.0,CBCT4R5Q,170,"English, German, Latvian, Russian",White/Caucasian,26,Female,White,Latvia,Latvia,Latvia,Russian,No,Full-Time
656496be6f701d1037ceb165,5bd790cb6d8285000125966b,APPROVED,2023-11-27T13:16:46.845000Z,2023-11-27T13:21:13.275000Z,2023-11-27T15:40:57.794000Z,2023-11-27T13:21:13.776634Z,267.0,CBCT4R5Q,117,"English, Swedish",White/Caucasian,29,Female,White,Sweden,Sweden,Sweden,Swedish,No,Unemployed (and job seeking)
656496c4f2ab4561316ebead,5e8348450e128b0539d77ddc,APPROVED,2023-11-27T13:17:00.040000Z,2023-11-27T13:29:43.299000Z,2023-11-27T15:41:04.034000Z,2023-11-27T13:29:43.796826Z,764.0,CBCT4R5Q,425,"English, Estonian, Russian",White/Caucasian,34,Female,White,Estonia,Estonia,Estonia,Estonian,Yes,Other
656496c7d618f32d72ccd3e9,6129dc084c55f609fd62f0bc,APPROVED,2023-11-27T13:16:55.357000Z,2023-11-27T13:36:33.886000Z,2023-11-27T15:41:00.478000Z,2023-11-27T13:36:34.419582Z,1179.0,CBCT4R5Q,168,English,African,30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
656496cbe9ab422cbaee4b79,61391693d47000d783145b93,APPROVED,2023-11-27T13:17:26.895000Z,2023-11-27T13:26:04.351000Z,2023-11-27T15:41:08.582000Z,2023-11-27T13:26:04.858540Z,518.0,CBCT4R5Q,280,English,White/Caucasian,27,Female,White,United States,United Kingdom,United States,English,DATA_EXPIRED,DATA_EXPIRED
